City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2020-02-19 03:51:59,-22.97,-42.03,77.0,88,76,13.87
1,Westport,US,2020-02-19 03:54:47,41.14,-73.36,44.01,87,90,4.7
2,Kapaa,US,2020-02-19 03:55:55,22.08,-159.32,78.8,78,40,23.04
3,Nanortalik,GL,2020-02-19 03:55:55,60.14,-45.24,22.84,59,100,37.18
4,Bandar-E Lengeh,IR,2020-02-19 03:55:55,26.56,54.88,64.4,63,0,4.7
5,Mataura,NZ,2020-02-19 03:55:55,-46.19,168.86,62.01,66,83,13.0
6,Ushuaia,AR,2020-02-19 03:55:55,-54.8,-68.3,46.4,87,75,25.28
7,Rio Gallegos,AR,2020-02-19 03:55:55,-51.62,-69.22,48.2,61,100,34.45
8,Punta Arenas,CL,2020-02-19 03:55:56,-53.15,-70.92,46.4,70,75,20.8
9,Trebisacce,IT,2020-02-19 03:55:56,39.87,16.53,51.01,87,40,9.17
10,Geraldton,AU,2020-02-19 03:52:30,-28.77,114.6,91.4,33,100,12.75
11,Komsomolskiy,UZ,2020-02-19 03:55:56,40.43,71.72,30.2,79,75,3.38
12,Busselton,AU,2020-02-19 03:55:56,-33.65,115.33,91.99,18,0,4.32
13,Leningradskiy,RU,2020-02-19 03:52:03,69.38,178.42,-18.92,94,45,17.25
14,Kamenka,RU,2020-02-19 03:55:57,51.32,42.77,35.01,96,100,5.01
15,Chuy,UY,2020-02-19 03:52:00,-33.7,-53.46,67.46,79,22,8.75
16,Tezu,IN,2020-02-19 03:55:57,27.92,96.17,68.18,47,12,2.89
17,Jamestown,US,2020-02-19 03:55:57,42.1,-79.24,34.0,86,75,9.17
18,Kodiak,US,2020-02-19 03:52:29,57.79,-152.41,33.8,55,1,10.29
19,Neiafu,TO,2020-02-19 03:55:58,-18.65,-173.98,82.4,65,40,5.82
20,Hermanus,ZA,2020-02-19 03:51:34,-34.42,19.23,68.0,88,0,7.0
21,Iki-Burul,RU,2020-02-19 03:55:58,45.82,44.65,26.6,100,0,0.18
22,Cape Town,ZA,2020-02-19 03:55:58,-33.93,18.42,69.01,82,0,10.29
23,Manokwari,ID,2020-02-19 03:55:58,-0.87,134.08,74.41,95,100,11.9
24,Provideniya,RU,2020-02-19 03:55:59,64.38,-173.3,6.8,77,40,17.9
25,Broome,US,2020-02-19 03:55:59,42.25,-75.83,39.0,80,90,3.36
26,Fare,PF,2020-02-19 03:55:59,-16.7,-151.02,82.74,75,100,11.25
27,Port Alfred,ZA,2020-02-19 03:51:28,-33.59,26.89,69.58,85,23,20.31
28,Rikitea,PF,2020-02-19 03:56:00,-23.12,-134.97,79.11,78,3,14.67
29,Narsaq,GL,2020-02-19 03:56:00,60.92,-46.05,12.2,56,59,3.36
30,Tuatapere,NZ,2020-02-19 03:51:38,-46.13,167.68,62.01,66,99,13.0
31,Skibbereen,IE,2020-02-19 03:56:00,51.55,-9.27,39.2,86,75,5.82
32,Ucluelet,CA,2020-02-19 03:53:14,48.93,-125.55,34.0,90,0,3.83
33,Mundo Novo,BR,2020-02-19 03:56:01,-11.86,-40.47,70.45,97,61,4.25
34,Sangin,AF,2020-02-19 03:56:01,32.07,64.84,43.66,71,0,3.71
35,Fortuna,US,2020-02-19 03:56:01,40.6,-124.16,44.01,93,1,2.33
36,Vaini,TO,2020-02-19 03:56:02,-21.2,-175.2,80.6,74,40,8.05
37,Puerto Ayora,EC,2020-02-19 03:51:26,-0.74,-90.35,77.59,84,3,8.48
38,Alofi,NU,2020-02-19 03:56:02,-19.06,-169.92,82.4,69,40,8.05
39,Bluff,NZ,2020-02-19 03:51:28,-46.6,168.33,62.01,66,0,13.0
40,New Norfolk,AU,2020-02-19 03:51:33,-42.78,147.06,66.0,47,75,21.92
41,Bethel,US,2020-02-19 03:52:33,41.37,-73.41,43.0,93,90,4.59
42,Butaritari,KI,2020-02-19 03:52:04,3.07,172.79,83.79,77,0,18.5
43,Chokurdakh,RU,2020-02-19 03:56:03,70.63,147.92,-5.24,97,98,9.91
44,Saint-Georges,GD,2020-02-19 03:56:03,12.06,-61.75,77.0,88,75,13.87
45,Mabaruma,GY,2020-02-19 03:56:03,8.2,-59.78,70.2,95,20,2.39
46,Fairbanks,US,2020-02-19 03:55:28,64.84,-147.72,21.0,92,1,2.62
47,Saskylakh,RU,2020-02-19 03:56:03,71.92,114.08,-9.87,86,0,7.29
48,Esperance,AU,2020-02-19 03:56:04,-33.87,121.9,73.4,43,100,11.41
49,Kaa-Khem,RU,2020-02-19 03:56:04,51.68,94.73,3.13,94,100,1.99
50,Kaitangata,NZ,2020-02-19 03:52:26,-46.28,169.85,66.0,53,90,11.99
51,Atuona,PF,2020-02-19 03:56:04,-9.8,-139.03,81.81,80,68,19.77
52,Cabo San Lucas,MX,2020-02-19 03:51:23,22.89,-109.91,71.6,53,5,8.05
53,Mwanga,TZ,2020-02-19 03:56:04,-4.8,38.2,69.04,98,43,1.5
54,Coahuayana,MX,2020-02-19 03:56:05,18.73,-103.68,73.4,78,20,3.44
55,Aloleng,PH,2020-02-19 03:56:05,16.13,119.78,85.42,36,0,12.21
56,Khani,GE,2020-02-19 03:56:05,41.96,42.96,48.2,45,0,13.87
57,Upata,VE,2020-02-19 03:56:05,8.01,-62.4,72.7,81,69,7.65
58,Ketou,BJ,2020-02-19 03:56:05,7.36,2.6,76.12,83,5,3.29
59,Kargil,IN,2020-02-19 03:56:06,34.57,76.1,3.2,90,100,1.59
60,Yei,SS,2020-02-19 03:56:06,4.09,30.68,70.52,70,85,3.36
61,Listvyanka,RU,2020-02-19 03:56:06,51.85,104.87,5.0,84,61,0.58
62,Upernavik,GL,2020-02-19 03:56:06,72.79,-56.15,-7.47,96,100,7.16
63,Vao,NC,2020-02-19 03:51:54,-22.67,167.48,79.2,73,6,10.8
64,Port Elizabeth,ZA,2020-02-19 03:56:06,-33.92,25.57,66.2,88,46,9.17
65,Saldanha,ZA,2020-02-19 03:56:07,-33.01,17.94,69.8,64,0,1.12
66,Hofn,IS,2020-02-19 03:56:07,64.25,-15.21,38.57,68,100,12.33
67,Cochrane,CA,2020-02-19 03:52:05,51.18,-114.47,14.0,78,20,5.82
68,Santa Ines,BR,2020-02-19 03:56:07,-3.67,-45.38,74.66,97,100,2.98
69,Yulara,AU,2020-02-19 03:53:10,-25.24,130.99,89.6,15,32,11.41
70,Leiyang,CN,2020-02-19 03:56:08,26.4,112.86,51.22,70,100,0.67
71,Abu Samrah,SY,2020-02-19 03:56:08,35.3,37.18,45.18,93,100,7.67
72,Tomatlan,MX,2020-02-19 03:54:00,19.93,-105.25,68.56,83,0,1.32
73,Georgetown,MY,2020-02-19 03:56:08,5.41,100.34,86.0,62,20,2.24
74,Basco,PH,2020-02-19 03:51:44,20.45,121.97,68.81,72,0,21.63
75,Bathsheba,BB,2020-02-19 03:56:09,13.22,-59.52,78.8,78,75,17.22
76,Airai,TL,2020-02-19 03:56:09,-8.93,125.41,79.61,70,39,4.45
77,Tiksi,RU,2020-02-19 03:56:09,71.69,128.87,-4.54,86,100,7.74
78,Sinegorye,RU,2020-02-19 03:56:09,62.08,150.48,-8.36,98,100,4.56
79,Katherine,AU,2020-02-19 03:56:09,-14.47,132.27,93.2,49,75,8.05
80,Banda Aceh,ID,2020-02-19 03:56:10,5.56,95.32,83.55,64,0,6.62
81,Mahebourg,MU,2020-02-19 03:52:03,-20.41,57.7,79.0,69,40,9.17
82,Prieska,ZA,2020-02-19 03:56:10,-29.66,22.75,69.66,71,23,13.06
83,Ajaccio,FR,2020-02-19 03:52:35,42.0,8.92,50.0,81,75,8.05
84,Buckeye,US,2020-02-19 03:53:03,33.37,-112.58,68.0,54,40,6.93
85,Albany,US,2020-02-19 03:52:20,42.6,-73.97,37.99,93,90,6.93
86,Salym,RU,2020-02-19 03:56:11,60.06,71.48,30.33,92,100,9.17
87,Canakkale,TR,2020-02-19 03:55:04,40.08,26.83,39.2,86,78,5.82
88,Montepuez,MZ,2020-02-19 03:56:11,-13.13,39.0,70.39,96,80,0.98
89,Tasiilaq,GL,2020-02-19 03:56:11,65.61,-37.64,23.0,79,100,19.46
90,Hilo,US,2020-02-19 03:51:36,19.73,-155.09,78.8,54,1,6.93
91,Clyde River,CA,2020-02-19 03:56:12,70.47,-68.59,-27.4,74,1,3.36
92,San Cristobal,VE,2020-02-19 03:52:05,7.77,-72.22,82.4,61,20,2.24
93,Tuktoyaktuk,CA,2020-02-19 03:51:33,69.45,-133.04,-4.0,76,75,12.75
94,Homer,US,2020-02-19 03:56:12,59.64,-151.55,33.8,86,90,6.93
95,Omboue,GA,2020-02-19 03:56:13,-1.57,9.26,75.29,94,77,1.83
96,Shenkursk,RU,2020-02-19 03:56:13,62.11,42.9,34.68,92,89,10.85
97,Labuhan,ID,2020-02-19 03:52:25,-6.88,112.21,80.55,83,100,4.81
98,Melhus,NO,2020-02-19 03:56:13,63.29,10.28,37.4,86,90,16.11
99,Nikolskoye,RU,2020-02-19 03:56:14,59.7,30.79,39.2,80,75,8.95
100,Namibe,AO,2020-02-19 03:56:14,-15.2,12.15,74.52,71,100,10.74
101,Ixtapa,MX,2020-02-19 03:55:21,20.7,-105.2,73.0,88,5,2.15
102,Verdun,FR,2020-02-19 03:56:14,49.25,5.33,44.01,92,100,11.99
103,Karatsu,JP,2020-02-19 03:56:14,33.44,129.97,57.99,50,40,2.24
104,Saint-Philippe,RE,2020-02-19 03:56:15,-21.36,55.77,79.0,69,40,4.7
105,Padang,ID,2020-02-19 03:56:15,-0.95,100.35,79.27,66,18,3.62
106,Alyangula,AU,2020-02-19 03:56:15,-13.85,136.42,86.0,70,47,2.24
107,Bandarbeyla,SO,2020-02-19 03:56:15,9.49,50.81,76.98,79,63,11.34
108,Hobart,AU,2020-02-19 03:51:55,-42.88,147.33,66.0,44,75,23.04
109,Volodarskiy,RU,2020-02-19 03:56:15,46.4,48.54,37.4,81,75,8.95
110,Dubbo,AU,2020-02-19 03:56:16,-32.25,148.62,78.8,39,75,16.11
111,Lasa,IT,2020-02-19 03:56:16,46.62,10.7,36.0,78,77,3.36
112,Pacific Grove,US,2020-02-19 03:56:16,36.62,-121.92,55.0,66,1,3.74
113,Panguna,PG,2020-02-19 03:56:16,-6.32,155.48,81.01,67,100,6.46
114,Codrington,AU,2020-02-19 03:56:16,-38.27,141.97,60.66,77,56,22.57
115,Sydney,AU,2020-02-19 03:55:56,-33.87,151.21,86.0,27,0,10.29
116,Ayan,RU,2020-02-19 03:56:17,56.45,138.17,10.49,71,100,4.29
117,Barrow,US,2020-02-19 03:56:17,71.29,-156.79,-2.2,77,90,23.04
118,Kenai,US,2020-02-19 03:51:45,60.55,-151.26,32.0,91,90,11.41
119,Deputatskiy,RU,2020-02-19 03:56:17,69.3,139.9,-11.06,92,84,3.78
120,Malakal,SS,2020-02-19 03:56:17,9.53,31.66,76.35,15,0,7.85
121,Cidreira,BR,2020-02-19 03:51:44,-30.18,-50.21,76.68,84,99,10.58
122,Ballina,AU,2020-02-19 03:56:18,-28.87,153.57,95.0,56,40,13.87
123,Kruisfontein,ZA,2020-02-19 03:56:18,-34.0,24.73,62.26,94,5,6.64
124,Meulaboh,ID,2020-02-19 03:56:18,4.14,96.13,81.23,79,91,2.62
125,Bredasdorp,ZA,2020-02-19 03:56:19,-34.53,20.04,68.0,82,86,10.29
126,Te Horo,NZ,2020-02-19 03:56:19,-40.81,175.12,71.01,77,73,23.04
127,Inhambane,MZ,2020-02-19 03:56:19,-23.86,35.38,78.8,94,20,4.7
128,Upington,ZA,2020-02-19 03:56:20,-28.45,21.26,73.4,83,100,1.12
129,Laguna,US,2020-02-19 03:52:52,38.42,-121.42,55.0,40,1,3.42
130,Nanton,CA,2020-02-19 03:56:20,50.35,-113.77,7.0,84,11,2.68
131,Sheregesh,RU,2020-02-19 03:56:20,52.92,87.99,13.93,92,100,4.7
132,Muriti,TZ,2020-02-19 03:56:21,-1.98,32.92,73.31,78,19,11.99
133,Qaanaaq,GL,2020-02-19 03:56:21,77.48,-69.36,-12.77,65,69,6.87
134,Bengkulu,ID,2020-02-19 03:52:16,-3.8,102.27,87.35,61,1,1.03
135,Pudozh,RU,2020-02-19 03:56:21,61.81,36.53,34.23,96,99,11.25
136,Ponta Do Sol,PT,2020-02-19 03:56:21,32.67,-17.1,59.0,67,75,16.11
137,Tshikapa,CD,2020-02-19 03:56:21,-6.42,20.8,69.12,96,1,0.36
138,Avera,US,2020-02-19 03:56:22,33.19,-82.53,62.6,99,90,3.27
139,Bubaque,GW,2020-02-19 03:56:22,11.28,-15.83,78.35,78,0,10.76
140,Lebu,CL,2020-02-19 03:56:22,-37.62,-73.65,58.24,72,0,9.93
141,Antofagasta,CL,2020-02-19 03:56:22,-23.65,-70.4,68.0,82,75,5.82
142,Lorengau,PG,2020-02-19 03:56:22,-2.02,147.27,83.55,78,54,16.4
143,East London,ZA,2020-02-19 03:56:23,-33.02,27.91,64.4,100,90,4.7
144,Castro,BR,2020-02-19 03:56:23,-24.79,-50.01,66.45,98,100,2.46
145,Kondoa,TZ,2020-02-19 03:56:23,-4.9,35.78,60.84,99,6,5.19
146,Turinskaya Sloboda,RU,2020-02-19 03:56:23,57.62,64.39,28.67,95,59,11.72
147,Kendari,ID,2020-02-19 03:56:23,-3.94,122.5,84.22,78,48,2.51
148,Salalah,OM,2020-02-19 03:54:12,17.02,54.09,68.0,77,20,4.7
149,Hithadhoo,MV,2020-02-19 03:56:24,-0.6,73.08,82.81,79,19,13.62
150,Road Town,VG,2020-02-19 03:51:45,18.42,-64.62,75.99,78,20,10.29
151,Faanui,PF,2020-02-19 03:56:24,-16.48,-151.75,82.85,75,100,12.53
152,Umba,RU,2020-02-19 03:56:24,66.69,34.34,26.47,94,100,11.18
153,Cordoba,AR,2020-02-19 03:55:28,-31.41,-64.18,69.01,82,0,9.17
154,Pampas,PE,2020-02-19 03:56:25,-12.4,-74.9,44.74,94,100,1.43
155,Nome,US,2020-02-19 03:51:46,64.5,-165.41,25.0,85,90,14.99
156,Cap Malheureux,MU,2020-02-19 03:56:25,-19.98,57.61,79.0,69,40,9.17
157,Shimoda,JP,2020-02-19 03:56:25,34.67,138.95,51.8,62,75,10.29
158,Vardo,NO,2020-02-19 03:56:25,70.37,31.11,17.6,72,75,17.22
159,Mumford,GH,2020-02-19 03:56:26,5.26,-0.76,76.55,92,0,3.38
160,Russell,US,2020-02-19 03:56:26,32.35,-85.2,68.0,94,40,4.7
161,Vila Velha,BR,2020-02-19 03:56:26,-20.33,-40.29,78.8,88,40,3.36
162,Shumyachi,RU,2020-02-19 03:56:26,53.86,32.42,33.96,93,68,8.99
163,Oktyabrskoye,RU,2020-02-19 03:56:26,43.06,44.74,23.0,85,0,4.47
164,Joacaba,BR,2020-02-19 03:56:26,-27.18,-51.5,65.03,98,100,1.05
165,Yar-Sale,RU,2020-02-19 03:56:27,66.83,70.83,22.64,91,62,14.16
166,Meiktila,MM,2020-02-19 03:56:27,20.87,95.87,76.69,25,67,11.16
167,Tautira,PF,2020-02-19 03:56:27,-17.73,-149.15,86.0,70,40,12.75
168,Brae,GB,2020-02-19 03:56:27,60.4,-1.35,42.8,77,94,3.36
169,Bhiwani,IN,2020-02-19 03:53:06,28.78,76.13,60.76,26,100,8.9
170,Iqaluit,CA,2020-02-19 03:52:05,63.75,-68.51,-31.0,59,5,3.36
171,Sitka,US,2020-02-19 03:52:07,57.05,-135.33,42.8,79,75,13.87
172,Luderitz,NA,2020-02-19 03:51:34,-26.65,15.16,63.14,97,51,11.9
173,Richards Bay,ZA,2020-02-19 03:56:28,-28.78,32.04,76.06,88,100,23.35
174,Mehriz,IR,2020-02-19 03:56:28,31.59,54.43,42.8,45,40,2.24
175,Umm Lajj,SA,2020-02-19 03:56:29,25.02,37.27,58.05,56,0,2.26
176,Norman Wells,CA,2020-02-19 03:52:10,65.28,-126.83,-2.2,70,75,5.82
177,Chulym,RU,2020-02-19 03:56:29,55.1,80.96,19.17,92,100,18.37
178,Kapuskasing,CA,2020-02-19 03:56:29,49.42,-82.43,5.0,77,90,14.99
179,Port Hedland,AU,2020-02-19 03:56:29,-20.32,118.57,95.0,41,1,10.29
180,Bozhou,CN,2020-02-19 03:56:29,33.88,115.77,50.94,45,100,7.99
181,Ahipara,NZ,2020-02-19 03:56:30,-35.17,173.17,75.99,96,0,3.0
182,Kigoma,TZ,2020-02-19 03:56:30,-4.88,29.63,69.8,94,75,6.51
183,Pisco,PE,2020-02-19 03:56:30,-13.7,-76.22,77.0,73,90,9.17
184,Port-Cartier,CA,2020-02-19 03:56:30,50.03,-66.87,19.99,92,90,19.46
185,Hasaki,JP,2020-02-19 03:56:30,35.73,140.83,55.0,43,75,4.7
186,Bonavista,CA,2020-02-19 03:53:26,48.65,-53.11,12.0,76,10,8.01
187,Rio Grande,BR,2020-02-19 03:54:46,-32.03,-52.1,73.15,75,1,15.79
188,Khatanga,RU,2020-02-19 03:56:31,71.97,102.5,-8.57,89,0,7.74
189,Inverell,AU,2020-02-19 03:56:31,-29.78,151.12,81.0,49,100,8.99
190,Riyadh,SA,2020-02-19 03:52:54,24.69,46.72,64.4,31,82,4.7
191,Ocu,JP,2020-02-19 03:56:31,35.0,135.87,53.01,46,75,4.7
192,Thinadhoo,MV,2020-02-19 03:53:31,0.53,72.93,82.36,81,0,14.74
193,Comodoro Rivadavia,AR,2020-02-19 03:56:32,-45.87,-67.5,64.4,31,100,13.87
194,Victoria,HK,2020-02-19 03:55:25,22.29,114.16,70.0,39,20,11.41
195,Sinnamary,GF,2020-02-19 03:52:24,5.38,-52.95,78.76,78,92,19.62
196,Kavaratti,IN,2020-02-19 03:56:32,10.57,72.64,82.4,78,20,4.7
197,Longyearbyen,SJ,2020-02-19 03:56:32,78.22,15.64,3.2,65,40,23.04
198,Pauini,BR,2020-02-19 03:56:33,-7.71,-66.98,74.93,94,92,1.63
199,Sheridan,US,2020-02-19 03:56:33,44.83,-106.92,19.4,79,90,14.99
200,Kavieng,PG,2020-02-19 03:52:25,-2.57,150.8,84.04,74,53,9.64
201,Filadelfia,US,2020-02-19 03:55:44,39.95,-75.16,54.0,76,90,5.01
202,Lompoc,US,2020-02-19 03:55:06,34.64,-120.46,55.4,62,1,4.7
203,Amapa,BR,2020-02-19 03:56:34,1.0,-52.0,71.67,98,66,3.29
204,Vadso,NO,2020-02-19 03:56:34,70.07,29.75,21.2,72,75,17.22
205,Alice Springs,AU,2020-02-19 03:56:34,-23.7,133.88,87.8,14,0,14.99
206,Noumea,NC,2020-02-19 03:53:40,-22.28,166.46,87.8,52,90,10.29
207,Qaqortoq,GL,2020-02-19 03:56:35,60.72,-46.03,12.2,56,32,3.36
208,Necochea,AR,2020-02-19 03:56:35,-38.55,-58.74,51.01,86,0,5.99
209,Thompson,CA,2020-02-19 03:51:45,55.74,-97.86,-11.2,69,5,9.17
210,Samarai,PG,2020-02-19 03:56:35,-10.62,150.67,91.47,48,82,4.81
211,Ribeira Grande,PT,2020-02-19 03:51:49,38.52,-28.7,56.17,87,33,13.89
212,Ewa Beach,US,2020-02-19 03:52:28,21.32,-158.01,80.6,78,90,9.17
213,Nakhon Si Thammarat,TH,2020-02-19 03:56:36,8.43,99.97,84.2,83,40,9.17
214,Kabinda,CD,2020-02-19 03:56:36,-6.13,24.48,67.06,95,100,0.83
215,Pevek,RU,2020-02-19 03:56:36,69.7,170.31,-23.06,99,100,4.34
216,Titisee-Neustadt,DE,2020-02-19 03:56:36,47.9,8.17,45.0,70,75,12.75
217,Torbay,CA,2020-02-19 03:56:36,47.67,-52.73,15.01,72,20,12.75
218,Mandalgovi,MN,2020-02-19 03:56:37,45.76,106.27,14.23,81,63,6.85
219,Abalak,RU,2020-02-19 03:56:37,58.13,68.59,24.73,95,99,8.7
220,Anton Lizardo,MX,2020-02-19 03:56:37,19.05,-95.98,73.4,94,40,4.72
221,Alasehir,TR,2020-02-19 03:56:37,38.35,28.52,38.3,82,0,0.51
222,Darhan,MN,2020-02-19 03:56:37,49.49,105.92,7.93,83,0,2.28
223,Avarua,CK,2020-02-19 03:56:37,-21.21,-159.78,80.6,83,100,9.17
224,Ust-Nera,RU,2020-02-19 03:56:38,64.57,143.2,-13.29,97,100,3.06
225,San Carlos De Bariloche,AR,2020-02-19 03:52:09,-41.15,-71.31,53.6,66,75,16.11
226,Mendoza,AR,2020-02-19 03:56:38,-32.89,-68.83,68.0,49,0,4.7
227,Chontalpa,MX,2020-02-19 03:56:38,17.7,-93.52,71.33,91,0,1.92
228,Sao Filipe,CV,2020-02-19 03:56:38,14.9,-24.5,78.64,42,100,16.89
229,Katsuura,JP,2020-02-19 03:56:39,35.13,140.3,55.0,40,75,9.17
230,Matara,LK,2020-02-19 03:53:55,5.95,80.54,77.95,67,2,4.59
231,Velyka Bahachka,UA,2020-02-19 03:56:39,49.79,33.72,35.06,92,1,6.87
232,Mount Gambier,AU,2020-02-19 03:56:39,-37.83,140.77,64.4,63,90,18.34
233,Bilibino,RU,2020-02-19 03:52:39,68.05,166.44,-25.64,97,13,2.01
234,Marovoay,MG,2020-02-19 03:56:39,-16.1,46.63,77.0,94,40,2.24
235,Tuy Hoa,VN,2020-02-19 03:56:40,13.08,109.3,75.45,78,31,19.1
236,Wanaka,NZ,2020-02-19 03:56:40,-44.7,169.15,57.4,58,28,8.03
237,Kholm-Zhirkovskiy,RU,2020-02-19 03:56:40,55.52,33.47,34.56,93,100,9.73
238,Dingle,PH,2020-02-19 03:52:49,11.0,122.67,77.58,79,76,18.86
239,Nenjiang,CN,2020-02-19 03:56:40,49.18,125.22,14.25,74,0,7.9
240,Lagoa,PT,2020-02-19 03:52:33,39.05,-27.98,60.19,75,18,18.68
241,Yuci,CN,2020-02-19 03:56:41,37.68,112.73,44.6,20,33,2.24
242,Naze,JP,2020-02-19 03:56:41,28.37,129.48,62.6,48,75,4.7
243,Acajutla,SV,2020-02-19 03:56:42,13.59,-89.83,82.44,74,69,9.82
244,Whitehorse,CA,2020-02-19 03:56:42,60.72,-135.05,28.4,79,75,19.46
245,Itaituba,BR,2020-02-19 03:56:42,-4.28,-55.98,74.82,89,80,0.25
246,Sobolevo,RU,2020-02-19 03:56:42,54.43,31.9,33.17,92,36,9.84
247,Sapa,PH,2020-02-19 03:56:42,5.15,120.32,82.22,74,97,10.65
248,Yellowknife,CA,2020-02-19 03:52:18,62.46,-114.35,-9.0,76,75,10.29
249,Poltavka,RU,2020-02-19 03:56:43,54.37,71.76,27.5,93,100,12.75
250,Sabang,ID,2020-02-19 03:56:43,5.89,95.32,83.07,77,18,20.76
251,Ongandjera,NA,2020-02-19 03:56:43,-17.88,15.07,70.43,33,67,5.59
252,Hambantota,LK,2020-02-19 03:56:43,6.12,81.12,78.8,78,5,6.93
253,Namatanai,PG,2020-02-19 03:56:44,-3.67,152.43,80.55,81,100,6.58
254,Barranca,PE,2020-02-19 03:56:44,-10.75,-77.77,72.03,92,100,12.3
255,Mar Del Plata,AR,2020-02-19 03:56:44,-38.0,-57.56,60.01,93,0,2.24
256,West Lafayette,US,2020-02-19 03:54:35,40.43,-86.91,30.99,86,1,8.05
257,Martapura,ID,2020-02-19 03:56:44,-3.42,114.85,85.57,63,97,3.87
258,Oistins,BB,2020-02-19 03:56:45,13.07,-59.53,78.8,78,75,17.22
259,Cherskiy,RU,2020-02-19 03:56:45,68.75,161.3,-20.79,96,100,5.37
260,Dikson,RU,2020-02-19 03:56:45,73.51,80.55,16.41,88,100,38.14
261,Coihaique,CL,2020-02-19 03:56:45,-45.58,-72.07,48.2,76,90,2.24
262,Mataram,ID,2020-02-19 03:55:11,-8.58,116.12,86.0,74,40,4.7
263,Afsin,TR,2020-02-19 03:56:46,38.25,36.91,25.79,99,100,3.56
264,Talnakh,RU,2020-02-19 03:56:46,69.49,88.4,10.4,85,40,33.55
265,Buraydah,SA,2020-02-19 03:53:08,26.33,43.98,60.8,59,20,2.24
266,Wattegama,LK,2020-02-19 03:56:46,6.8,81.48,78.8,78,5,6.93
267,Fili,RU,2020-02-19 03:56:47,55.74,37.49,41.0,93,75,8.95
268,Terre-De-Bas,GP,2020-02-19 03:56:47,15.85,-61.64,75.2,83,9,3.36
269,Zonguldak,TR,2020-02-19 03:56:47,41.25,31.83,32.38,63,0,5.03
270,Tessalit,ML,2020-02-19 03:53:42,20.2,1.01,65.73,16,33,12.17
271,Honningsvag,NO,2020-02-19 03:56:47,70.98,25.97,23.0,49,75,19.46
272,Touros,BR,2020-02-19 03:56:47,-5.2,-35.46,78.8,88,40,3.36
273,Tucumcari,US,2020-02-19 03:56:48,35.17,-103.72,42.8,52,90,9.17
274,Khromtau,KZ,2020-02-19 03:56:48,50.25,58.43,22.75,82,100,18.19
275,Caravelas,BR,2020-02-19 03:53:11,-17.71,-39.25,80.4,83,21,12.8
